station_uid,date,maxt,mint,pcpn,snow,snwd,avgt,freeze_day,above_freezing,obs_year,obs_month,obs_day,obs_dayofyear,maxt_7_day,mint_7_day,avgt_7_day,precip_7_day,obs_count_7_day,maxt_30_day,mint_30_day,avgt_30_day,precip_30_day,obs_count_30_day
10392,2021-03-04 00:00:00.001,43,28,0,,,35.5,1,1,2021,3,4,63,,,,,,,,,,
10392,2021-03-04 00:00:00.002,43,31,0,,,37,1,1,2021,3,5,64,43,28,35.5,0,1,43,28,35.5,0,1
10392,2021-03-04 00:00:00.003,45,20,0,,,32.5,1,1,2021,3,6,65,43,28,36.25,0,2,43,28,36.25,0,2
10392,2021-03-04 00:00:00.004,59,32,0,,,45.5,1,1,2021,3,7,66,45,20,35,0,3,45,20,35,0,3
10392,2021-03-04 00:00:00.005,55,30,0,,,42.5,1,1,2021,3,8,67,59,20,37.625,0,4,59,20,37.625,0,4
10392,2021-03-04 00:00:00.006,62,40,0,,,51,0,1,2021,3,9,68,59,20,38.6,0,5,59,20,38.6,0,5
10392,2021-03-04 00:00:00.007,55,42,0.83,,,48.5,0,1,2021,3,10,69,62,20,40.6666666666667,0,6,62,20,40.6666666666667,0,6
10392,2021-03-04 00:00:00.008,48,32,0,,,40,1,1,2021,3,11,70,62,20,41.7857142857143,0.83,7,62,20,41.7857142857143,0.83,7
10392,2021-03-04 00:00:00.009,45,26,0,,,35.5,1,1,2021,3,12,71,62,20,42.4285714285714,0.83,7,62,20,41.5625,0.83,8
10392,2021-03-04 00:00:00.010,59,27,0,,,43,1,1,2021,3,13,72,62,20,42.2142857142857,0.83,7,62,20,40.8888888888889,0.83,9
10392,2021-03-04 00:00:00.011,47,36,0,,,41.5,0,1,2021,3,14,73,62,26,43.7142857142857,0.83,7,62,20,41.1,0.83,10
10392,2021-03-04 00:00:00.012,40,27,0.09,,,33.5,1,1,2021,3,15,74,62,26,43.1428571428572,0.83,7,62,20,41.1363636363636,0.83,11
10392,2021-03-04 00:00:00.013,52,27,0,,,39.5,1,1,2021,3,18,77,59,26,38.7,0.09,5,62,20,40.5,0.92,12
10392,2021-03-04 00:00:00.014,47,23,0,,,35,1,1,2021,3,19,78,59,26,38.6,0.09,5,62,20,40.4230769230769,0.92,13
10392,2021-03-04 00:00:00.015,84,52,0,,,68,0,1,2021,5,2,122,,,,,,,,,,
10392,2021-03-04 00:00:00.016,67,52,,,,59.5,0,1,2021,5,3,123,84,52,68,0,1,84,52,68,0,1
10392,2021-03-04 00:00:00.017,59,41,0,,,50,0,1,2021,5,4,124,84,52,63.75,0,2,84,52,63.75,0,2
10392,2021-03-04 00:00:00.018,56,35,,,,45.5,0,1,2021,5,5,125,84,41,59.1666666666667,0,3,84,41,59.1666666666667,0,3
10392,2021-03-04 00:00:00.019,61,37,,,,49,0,1,2021,5,6,126,84,35,55.75,0,4,84,35,55.75,0,4
10392,2021-03-04 00:00:00.020,59,38,,,,48.5,0,1,2021,5,7,127,84,35,54.4,0,5,84,35,54.4,0,5
10392,2021-03-04 00:00:00.021,57,32,0,,,44.5,1,1,2021,5,8,128,84,35,53.4166666666667,0,6,84,35,53.4166666666667,0,6
10392,2021-03-04 00:00:00.022,62,38,0,,,50,0,1,2021,5,9,129,84,32,52.1428571428571,0,7,84,32,52.1428571428571,0,7
10392,2021-03-04 00:00:00.023,58,41,0,,,49.5,0,1,2021,5,10,130,67,32,49.5714285714286,0,7,84,32,51.875,0,8
10392,2021-03-04 00:00:00.024,62,31,0,,,46.5,1,1,2021,5,11,131,62,32,48.1428571428572,0,7,84,32,51.6111111111111,0,9
10392,2021-03-04 00:00:00.025,69,37,0,,,53,0,1,2021,5,12,132,62,31,47.6428571428571,0,7,84,31,51.1,0,10
10392,2021-03-04 00:00:00.026,71,41,0,,,56,0,1,2021,5,13,133,69,31,48.7142857142857,0,7,84,31,51.2727272727273,0,11
10392,2021-03-04 00:00:00.027,69,51,,,,60,0,1,2021,5,14,134,71,31,49.7142857142857,0,7,84,31,51.6666666666667,0,12
10392,2021-03-04 00:00:00.028,74,48,0,,,61,0,1,2021,5,15,135,71,31,51.3571428571429,0,7,84,31,52.3076923076923,0,13
10392,2021-03-04 00:00:00.029,73,50,0,,,61.5,0,1,2021,5,16,136,74,31,53.7142857142857,0,7,84,31,52.9285714285714,0,14
10392,2021-03-04 00:00:00.030,78,47,0,,,62.5,0,1,2021,5,17,137,74,31,55.3571428571429,0,7,84,31,53.5,0,15
10392,2021-03-04 00:00:00.031,76,53,,,,64.5,0,1,2021,5,18,138,78,31,57.2142857142857,0,7,84,31,54.0625,0,16
10392,2021-03-04 00:00:00.032,75,60,,,,67.5,0,1,2021,5,19,139,78,37,59.7857142857143,0,7,84,31,54.6764705882353,0,17
10392,2021-03-04 00:00:00.033,79,66,,,,72.5,0,1,2021,5,21,141,78,47,62.8333333333333,0,6,84,31,55.3888888888889,0,18
10392,2021-03-04 00:00:00.034,94,70,0,,,82,0,1,2021,6,4,155,,,,,,79,31,55.75,0,16
10392,2021-03-04 00:00:00.035,96,73,0,,,84.5,0,1,2021,6,5,156,94,70,82,0,1,94,31,58.03125,0,16
10392,2021-03-04 00:00:00.036,94,72,0,,,83,0,1,2021,6,6,157,96,70,83.25,0,2,96,31,60.25,0,16
10392,2021-03-04 00:00:00.037,93,71,0,,,82,0,1,2021,6,7,158,96,70,83.1666666666667,0,3,96,31,62.40625,0,16
10392,2021-03-04 00:00:00.038,95,72,0,,,83.5,0,1,2021,6,8,159,96,70,82.875,0,4,96,31,64.75,0,16
10392,2021-03-04 00:00:00.039,95,72,0.01,,,83.5,0,1,2021,6,9,160,96,70,83,0,5,96,31,66.84375,0,16
10410,2021-03-04 00:00:00.040,36,13,0,0,5,24.5,1,1,2020,1,1,1,,,,,,,,,,
10392,2021-03-04 00:00:00.041,96,72,0.03,,,84,0,1,2021,6,10,161,96,70,83.0833333333333,0.01,6,96,31,68.96875,0.01,16
10392,2021-03-04 00:00:00.042,93,74,0,,,83.5,0,1,2021,6,11,162,96,70,83.2142857142857,0.04,7,96,37,71.3125,0.04,16
10392,2021-03-04 00:00:00.043,84,63,0,,,73.5,0,1,2021,6,12,163,96,71,83.4285714285714,0.04,7,96,41,73.21875,0.04,16
10392,2021-03-04 00:00:00.044,94,57,0,,,75.5,0,1,2021,6,13,164,96,63,81.8571428571429,0.04,7,96,47,74.3125,0.04,16
10392,2021-03-04 00:00:00.045,91,57,0,,,74,0,1,2021,6,14,165,96,57,80.7857142857143,0.04,7,96,47,75.28125,0.04,16
10392,2021-03-04 00:00:00.046,83,62,0,,,72.5,0,1,2021,6,15,166,96,57,79.6428571428571,0.04,7,96,47,76.09375,0.04,16
10392,2021-03-04 00:00:00.047,87,58,0,,,72.5,0,1,2021,6,16,167,96,57,78.0714285714286,0.04,7,96,47,76.78125,0.04,16
10392,2021-03-04 00:00:00.048,88,71,0,,,79.5,0,1,2021,6,17,168,96,57,76.5,0.03,7,96,53,77.40625,0.04,16
10392,2021-03-04 00:00:00.049,89,60,0.01,,,74.5,0,1,2021,6,18,169,94,57,75.8571428571429,0,7,96,57,78.34375,0.04,16
10392,2021-03-04 00:00:00.050,86,60,0,,,73,0,1,2021,6,19,170,94,57,74.5714285714286,0.01,7,96,57,78.78125,0.05,16
10392,2021-03-04 00:00:00.051,77,61,0.46,,,69,0,1,2021,6,20,171,94,57,74.5,0.01,7,96,57,78.4411764705882,0.05,17
10392,2021-03-04 00:00:00.052,67,52,0.01,,,59.5,0,1,2021,6,21,172,91,57,73.5714285714286,0.47,7,96,57,78.2352941176471,0.51,17
10392,2021-03-04 00:00:00.053,75,47,0,,,61,0,1,2021,6,22,173,89,52,71.5,0.48,7,96,52,77.1944444444444,0.52,18
10392,2021-03-04 00:00:00.054,87,55,0,,,71,0,1,2021,6,23,174,89,47,69.8571428571429,0.48,7,96,47,76.3421052631579,0.52,19
10392,2021-03-04 00:00:00.055,88,74,0,,,81,0,1,2021,6,24,175,89,47,69.6428571428571,0.48,7,96,47,76.075,0.52,20
10392,2021-03-04 00:00:00.056,85,64,0,,,74.5,0,1,2021,6,25,176,89,47,69.8571428571429,0.48,7,96,47,76.3095238095238,0.52,21
10392,2021-03-04 00:00:00.057,80,66,1.16,,,73,0,1,2021,6,26,177,88,47,69.8571428571429,0.47,7,96,47,76.2272727272727,0.52,22
10392,2021-03-04 00:00:00.058,79,62,0.04,,,70.5,0,1,2021,6,27,178,88,47,69.8571428571429,1.63,7,96,47,76.0869565217391,1.68,23
10392,2021-03-04 00:00:00.059,78,61,0.15,,,69.5,0,1,2021,6,28,179,88,47,70.0714285714286,1.21,7,96,47,75.8541666666667,1.72,24
10392,2021-03-04 00:00:00.060,83,67,0.02,,,75,0,1,2021,6,29,180,88,47,71.5,1.35,7,96,47,75.6,1.87,25
10392,2021-03-04 00:00:00.061,85,63,0.14,,,74,0,1,2021,6,30,181,88,55,73.5,1.37,7,96,47,75.5769230769231,1.89,26
10392,2021-03-04 00:00:00.062,85,64,0,,,74.5,0,1,2021,7,1,182,88,61,73.9285714285714,1.51,7,96,47,75.5185185185185,2.03,27
10392,2021-03-04 00:00:00.063,83,61,0,,,72,0,1,2021,7,2,183,85,61,73,1.51,7,96,47,75.4821428571429,2.03,28
10392,2021-03-04 00:00:00.064,84,62,0,,,73,0,1,2021,7,3,184,85,61,72.6428571428571,1.51,7,96,47,75.3620689655172,2.03,29
10392,2021-03-04 00:00:00.065,90,68,0,,,79,0,1,2021,7,4,185,85,61,72.6428571428571,0.35,7,96,47,75.2833333333333,2.03,30
10392,2021-03-04 00:00:00.066,93,71,0,,,82,0,1,2021,7,5,186,90,61,73.8571428571429,0.31,7,96,47,75.1833333333333,2.03,30
10392,2021-03-04 00:00:00.067,89,70,0.17,,,79.5,0,1,2021,7,6,187,93,61,75.6428571428571,0.16,7,96,47,75.1,2.03,30
10392,2021-03-04 00:00:00.068,73,55,0.48,,,64,0,1,2021,7,7,188,93,61,76.2857142857143,0.31,7,96,47,74.9833333333333,2.2,30
