station_uid,obs_year,coldest_day,coldest_dayofyear,hottest_day,hottest_dayofyear,last_freeze_date,last_freeze_dayofyear,first_freeze_date,first_freeze_dayofyear,observations_recorded_april_to_may
10392,2017,-8,363,96,161,2021-05-11 00:00:00.000,131,2021-10-22 00:00:00.000,295,46
10392,2018,-20,26,93,132,2022-04-27 00:00:00.000,117,,,46
10392,2050,,,,,,,,,
10395,2019,-23,38,97,162,2021-05-11 00:00:00.000,131,2021-10-22 00:00:00.000,295,91
10395,2022,-22,26,92,133,2022-04-28 00:00:00.000,118,,,46
10395,2023,-18,45,94,161,2020-05-12 00:00:00.000,133,2020-10-03 00:00:00.000,277,69
10398,2024,-23,47,100,157,2021-04-02 00:00:00.000,92,2021-11-02 00:00:00.000,306,90
10398,2025,-20,26,96,133,2022-04-27 00:00:00.000,117,,,45
10398,2026,-14,45,97,161,2020-04-17 00:00:00.000,108,2020-10-19 00:00:00.000,293,91
10685,2027,-18,46,98,157,2021-04-22 00:00:00.000,112,2021-10-24 00:00:00.000,297,91
10685,2028,-15,8,92,133,2022-04-28 00:00:00.000,118,,,46
10685,2029,-10,45,95,161,2020-04-21 00:00:00.000,112,2020-10-19 00:00:00.000,293,90
10408,2030,-21,46,99,156,2021-04-25 00:00:00.000,115,2021-10-22 00:00:00.000,295,91
10408,2031,-21,7,93,132,2022-04-27 00:00:00.000,117,,,46
10408,2032,-16,45,97,160,2020-04-21 00:00:00.000,112,2020-10-04 00:00:00.000,278,91
10410,2033,-19,45,99,156,2021-04-21 00:00:00.000,111,2021-10-23 00:00:00.000,296,91
10410,2034,-17,7,92,132,2022-04-27 00:00:00.000,117,,,46
10410,2035,-12,45,96,160,2020-04-21 00:00:00.000,112,2020-10-04 00:00:00.000,278,91
10430,2036,-22,46,99,156,2021-05-11 00:00:00.000,131,2021-10-22 00:00:00.000,295,91
10430,2037,-20,7,91,132,2022-04-27 00:00:00.000,117,,,46
10430,2038,-13,45,95,160,2020-05-12 00:00:00.000,133,2020-10-04 00:00:00.000,278,91
10442,2039,-23,46,100,156,2021-05-11 00:00:00.000,131,2021-10-17 00:00:00.000,290,91
10442,2040,-19,7,92,132,2022-04-27 00:00:00.000,117,,,46
10442,2041,-13,45,97,160,2020-05-12 00:00:00.000,133,2020-10-04 00:00:00.000,278,91
