obs_year,coldest_dayofyear,hottest_dayofyear,last_freeze_date,last_freeze_dayofyear,first_freeze_date,first_freeze_dayofyear,observations_recorded_april_to_may,avg_last_freeze_dayofyear,avg_last_freeze_date,median_last_freeze_dayofyear,median_last_freeze_date,station_count
2002,35.0,182.0,2002-05-20,140.0,2002-09-24,267.0,1463.0,130.0,2002-05-10,125.0,2002-05-05,27
2021,47.0,156.0,2021-05-29,149.0,2021-10-17,290.0,1408.0,123.0,2021-05-03,131.0,2021-05-11,27
2003,38.0,237.0,2003-04-22,112.0,2003-09-25,268.0,1653.0,105.0,2003-04-15,107.0,2003-04-17,27
2004,35.0,203.0,2004-05-15,136.0,2004-09-07,251.0,1606.0,122.0,2004-05-02,118.0,2004-04-28,27
2005,353.0,174.0,2005-05-16,136.0,2005-10-07,280.0,1539.0,115.0,2005-04-25,124.0,2005-05-04,27
2006,21.0,212.0,2006-05-22,142.0,2006-10-05,278.0,1483.0,101.0,2006-04-11,99.0,2006-04-09,27
2019,32.0,201.0,2019-05-20,140.0,2019-10-11,284.0,1364.0,119.0,2019-04-29,123.0,2019-05-03,27
2017,361.0,265.0,2017-05-02,122.0,2017-10-10,283.0,1527.0,116.0,2017-04-26,118.0,2017-04-28,27
2007,36.0,207.0,2007-04-19,109.0,2007-09-12,255.0,1648.0,104.0,2007-04-14,105.0,2007-04-15,27
2008,358.0,194.0,2008-05-22,143.0,2008-10-01,275.0,1678.0,121.0,2008-05-01,120.0,2008-04-30,27
2009,16.0,140.0,2009-05-18,138.0,2009-09-29,272.0,1658.0,105.0,2009-04-15,101.0,2009-04-11,27
2010,4.0,144.0,2010-05-10,130.0,2010-09-26,269.0,1704.0,122.0,2010-05-02,129.0,2010-05-09,27
2011,21.0,159.0,2011-05-05,125.0,2011-09-15,258.0,1630.0,114.0,2011-04-24,123.0,2011-05-03,27
2012,20.0,187.0,2012-04-24,115.0,2012-09-22,266.0,1619.0,109.0,2012-04-19,108.0,2012-04-18,27
2013,364.0,135.0,2013-05-24,144.0,2013-10-13,286.0,1575.0,128.0,2013-05-08,124.0,2013-05-04,27
2014,32.0,188.0,2014-05-04,124.0,2014-09-13,256.0,1537.0,113.0,2014-04-23,109.0,2014-04-19,27
2015,14.0,226.0,2015-05-20,140.0,2015-10-14,287.0,1545.0,117.0,2015-04-27,113.0,2015-04-23,27
2016,354.0,205.0,2016-05-16,137.0,2016-10-07,281.0,1541.0,128.0,2016-05-08,136.0,2016-05-16,27
2018,1.0,180.0,2018-04-29,119.0,2018-09-28,271.0,1360.0,115.0,2018-04-25,115.0,2018-04-25,27
2020,17.0,160.0,2020-05-13,134.0,2020-09-09,253.0,1332.0,126.0,2020-05-06,133.0,2020-05-13,27
2022,7.0,133.0,2022-05-04,124.0,,,734.0,118.0,2022-04-28,117.0,2022-04-27,27
