county,obs_year,county_name,station_count,coldest_day,coldest_dayofyear,hottest_day,hottest_dayofyear,last_freeze_date,last_freeze_dayofyear,first_freeze_date,first_freeze_dayofyear,observations_recorded_april_to_may
27003,2002,Anoka County,4,-8.0,62.0,92.0,181.0,2002-05-20,140.0,2002-10-07,280.0,89.0
27003,2021,Anoka County,4,-30.0,47.0,100.0,156.0,2021-05-29,149.0,2021-10-17,290.0,182.0
27003,2003,Anoka County,4,-19.0,38.0,96.0,236.0,2003-04-22,112.0,2003-09-29,272.0,104.0
27003,2004,Anoka County,4,-29.0,30.0,96.0,203.0,2004-05-15,136.0,2004-09-07,251.0,181.0
27003,2005,Anoka County,4,-22.0,17.0,96.0,174.0,2005-05-16,136.0,2005-10-07,280.0,182.0
27003,2006,Anoka County,4,-17.0,49.0,100.0,212.0,2006-05-22,142.0,2006-10-05,278.0,92.0
27003,2019,Anoka County,4,-34.0,32.0,93.0,201.0,2019-05-20,140.0,2019-10-11,284.0,181.0
27003,2017,Anoka County,4,-23.0,361.0,93.0,265.0,2017-04-29,119.0,2017-10-10,283.0,182.0
27003,2007,Anoka County,4,-23.0,36.0,98.0,207.0,2007-04-19,109.0,2007-09-12,255.0,149.0
27003,2008,Anoka County,4,-19.0,52.0,93.0,231.0,2008-05-22,143.0,2008-10-03,277.0,179.0
27003,2009,Anoka County,4,-30.0,17.0,97.0,174.0,2009-05-18,138.0,2009-09-29,272.0,180.0
27003,2010,Anoka County,4,-26.0,4.0,95.0,144.0,2010-05-10,130.0,2010-09-26,269.0,182.0
27003,2011,Anoka County,4,-29.0,22.0,100.0,159.0,2011-05-05,125.0,2011-09-15,258.0,180.0
27003,2012,Anoka County,4,-15.0,20.0,98.0,187.0,2012-04-24,115.0,2012-09-22,266.0,182.0
27003,2013,Anoka County,4,-20.0,364.0,96.0,238.0,2013-05-24,144.0,2013-10-13,286.0,181.0
27003,2014,Anoka County,4,-24.0,7.0,91.0,203.0,2014-05-04,124.0,2014-09-13,256.0,182.0
27003,2015,Anoka County,4,-22.0,14.0,92.0,226.0,2015-05-20,140.0,2015-10-14,287.0,182.0
27003,2016,Anoka County,4,-23.0,354.0,95.0,204.0,2016-05-16,137.0,2016-10-08,282.0,182.0
27003,2018,Anoka County,4,-22.0,1.0,98.0,180.0,2018-04-29,119.0,2018-09-28,271.0,182.0
27003,2020,Anoka County,4,-21.0,17.0,96.0,160.0,2020-05-13,134.0,2020-09-09,253.0,181.0
27003,2022,Anoka County,4,-24.0,7.0,91.0,133.0,2022-05-04,124.0,,,91.0
27019,2002,Carver County,4,-8.0,18.0,96.0,181.0,2002-05-05,125.0,2002-10-07,280.0,90.0
27019,2021,Carver County,4,-23.0,46.0,96.0,161.0,2021-05-11,131.0,2021-10-21,294.0,91.0
27019,2003,Carver County,4,-18.0,38.0,95.0,237.0,2003-04-18,108.0,2003-09-30,273.0,240.0
27019,2004,Carver County,4,-25.0,35.0,96.0,160.0,2004-05-15,136.0,2004-10-02,276.0,234.0
27019,2005,Carver County,4,-17.0,354.0,94.0,215.0,2005-05-05,125.0,2005-10-08,281.0,182.0
27019,2006,Carver County,4,-16.0,49.0,100.0,212.0,2006-04-09,99.0,2006-10-10,283.0,182.0
27019,2019,Carver County,4,-31.0,31.0,92.0,200.0,2019-05-03,123.0,2019-10-11,284.0,91.0
27019,2017,Carver County,4,-18.0,365.0,94.0,197.0,2017-04-29,119.0,2017-10-10,283.0,177.0
27019,2007,Carver County,4,-21.0,37.0,98.0,189.0,2007-04-16,106.0,2007-09-15,258.0,181.0
27019,2008,Carver County,4,-20.0,358.0,91.0,198.0,2008-04-30,121.0,2008-10-05,279.0,182.0
27019,2009,Carver County,4,-32.0,16.0,96.0,140.0,2009-05-18,138.0,2009-10-09,282.0,182.0
27019,2010,Carver County,4,-25.0,4.0,94.0,222.0,2010-05-10,130.0,2010-10-03,276.0,182.0
27019,2011,Carver County,4,-29.0,22.0,101.0,159.0,2011-05-05,125.0,2011-09-16,259.0,181.0
27019,2012,Carver County,4,-13.0,20.0,99.0,189.0,2012-04-18,109.0,2012-09-23,267.0,182.0
27019,2013,Carver County,4,-20.0,364.0,98.0,135.0,2013-05-12,132.0,2013-10-14,287.0,182.0
27019,2014,Carver County,4,-24.0,7.0,91.0,203.0,2014-04-26,116.0,2014-09-13,256.0,182.0
27019,2015,Carver County,4,-19.0,14.0,94.0,161.0,2015-04-28,118.0,2015-10-16,289.0,182.0
27019,2016,Carver County,4,-28.0,354.0,96.0,205.0,2016-05-16,137.0,2016-10-07,281.0,182.0
27019,2018,Carver County,4,-16.0,1.0,99.0,148.0,2018-04-28,118.0,2018-10-11,284.0,91.0
27019,2020,Carver County,4,-18.0,45.0,94.0,160.0,2020-05-12,133.0,2020-10-02,276.0,91.0
27019,2022,Carver County,4,-21.0,7.0,91.0,132.0,2022-04-27,117.0,,,46.0
27037,2002,Dakota County,4,-9.0,19.0,95.0,182.0,2002-05-13,133.0,2002-10-05,278.0,267.0
27037,2021,Dakota County,4,-23.0,47.0,100.0,157.0,2021-05-11,131.0,2021-10-22,295.0,227.0
27037,2003,Dakota County,4,-23.0,38.0,99.0,237.0,2003-04-22,112.0,2003-09-30,273.0,272.0
27037,2004,Dakota County,4,-24.0,30.0,94.0,160.0,2004-05-15,136.0,2004-10-02,276.0,168.0
27037,2005,Dakota County,4,-16.0,14.0,94.0,199.0,2005-05-12,132.0,2005-10-07,280.0,207.0
27037,2006,Dakota County,4,-16.0,49.0,98.0,213.0,2006-04-24,114.0,2006-10-11,284.0,265.0
27037,2019,Dakota County,4,-30.0,31.0,94.0,201.0,2019-05-03,123.0,2019-10-12,285.0,182.0
27037,2017,Dakota County,4,-15.0,365.0,97.0,162.0,2017-04-28,118.0,2017-10-10,283.0,182.0
27037,2007,Dakota County,4,-20.0,35.0,95.0,208.0,2007-04-15,105.0,2007-09-14,257.0,263.0
27037,2008,Dakota County,4,-18.0,25.0,91.0,212.0,2008-04-30,121.0,2008-10-21,295.0,272.0
27037,2009,Dakota County,4,-28.0,17.0,95.0,174.0,2009-04-12,102.0,2009-10-09,282.0,271.0
27037,2010,Dakota County,4,-22.0,3.0,95.0,145.0,2010-05-10,130.0,2010-10-22,295.0,258.0
27037,2011,Dakota County,4,-30.0,21.0,101.0,159.0,2011-05-04,124.0,2011-09-15,258.0,181.0
27037,2012,Dakota County,4,-13.0,20.0,99.0,189.0,2012-04-20,111.0,2012-09-23,267.0,182.0
27037,2013,Dakota County,4,-18.0,365.0,97.0,135.0,2013-05-12,132.0,2013-10-20,293.0,182.0
27037,2014,Dakota County,4,-24.0,32.0,89.0,203.0,2014-04-30,120.0,2014-10-05,278.0,180.0
27037,2015,Dakota County,4,-17.0,14.0,92.0,227.0,2015-05-20,140.0,2015-10-17,290.0,180.0
27037,2016,Dakota County,4,-27.0,354.0,97.0,205.0,2016-05-15,136.0,2016-10-09,283.0,176.0
27037,2018,Dakota County,4,-18.0,6.0,100.0,149.0,2018-04-29,119.0,2018-09-29,272.0,181.0
27037,2020,Dakota County,4,-18.0,45.0,97.0,161.0,2020-05-12,133.0,2020-10-03,277.0,160.0
27037,2022,Dakota County,4,-22.0,26.0,96.0,133.0,2022-04-28,118.0,,,137.0
27053,2002,Hennepin County,7,-8.0,18.0,99.0,181.0,2002-05-20,140.0,2002-10-07,280.0,508.0
27053,2021,Hennepin County,7,-23.0,46.0,100.0,156.0,2021-05-11,131.0,2021-10-17,290.0,455.0
27053,2003,Hennepin County,7,-20.0,38.0,98.0,236.0,2003-04-22,112.0,2003-09-30,273.0,533.0
27053,2004,Hennepin County,7,-25.0,30.0,96.0,159.0,2004-05-15,136.0,2004-10-02,276.0,535.0
27053,2005,Hennepin County,7,-29.0,353.0,98.0,174.0,2005-05-13,133.0,2005-10-07,280.0,522.0
27053,2006,Hennepin County,7,-37.0,21.0,101.0,212.0,2006-04-25,115.0,2006-10-05,278.0,527.0
27053,2019,Hennepin County,7,-30.0,30.0,95.0,200.0,2019-05-10,130.0,2019-10-12,285.0,455.0
27053,2017,Hennepin County,7,-18.0,365.0,96.0,196.0,2017-04-28,118.0,2017-10-10,283.0,453.0
27053,2007,Hennepin County,7,-20.0,39.0,100.0,188.0,2007-04-15,105.0,2007-09-15,258.0,545.0
27053,2008,Hennepin County,7,-18.0,24.0,94.0,211.0,2008-04-30,121.0,2008-10-04,278.0,531.0
27053,2009,Hennepin County,7,-28.0,15.0,97.0,139.0,2009-04-28,118.0,2009-10-09,282.0,543.0
27053,2010,Hennepin County,7,-19.0,3.0,96.0,220.0,2010-05-09,129.0,2010-10-03,276.0,542.0
27053,2011,Hennepin County,7,-25.0,21.0,103.0,158.0,2011-05-04,124.0,2011-09-15,258.0,546.0
27053,2012,Hennepin County,7,-13.0,19.0,102.0,188.0,2012-04-23,114.0,2012-09-23,267.0,527.0
27053,2013,Hennepin County,7,-16.0,358.0,99.0,134.0,2013-05-13,133.0,2013-10-19,292.0,484.0
27053,2014,Hennepin County,7,-23.0,6.0,92.0,202.0,2014-04-26,116.0,2014-10-05,278.0,447.0
27053,2015,Hennepin County,7,-14.0,50.0,94.0,226.0,2015-04-25,115.0,2015-10-16,289.0,455.0
27053,2016,Hennepin County,7,-24.0,353.0,97.0,204.0,2016-05-15,136.0,2016-10-09,283.0,455.0
27053,2018,Hennepin County,7,-16.0,1.0,101.0,148.0,2018-04-28,118.0,2018-09-29,272.0,452.0
27053,2020,Hennepin County,7,-16.0,45.0,97.0,160.0,2020-05-12,133.0,2020-10-04,278.0,454.0
27053,2022,Hennepin County,7,-21.0,7.0,93.0,132.0,2022-04-28,118.0,,,230.0
27123,2002,Ramsey County,5,-11.0,35.0,98.0,182.0,2002-05-20,140.0,2002-09-24,267.0,330.0
27123,2021,Ramsey County,5,-22.0,46.0,98.0,162.0,2021-04-25,115.0,2021-10-22,295.0,273.0
27123,2003,Ramsey County,5,-21.0,38.0,99.0,236.0,2003-04-22,112.0,2003-09-25,268.0,328.0
27123,2004,Ramsey County,5,-29.0,35.0,96.0,203.0,2004-04-27,118.0,2004-10-02,276.0,340.0
27123,2005,Ramsey County,5,-15.0,18.0,96.0,199.0,2005-05-04,124.0,2005-10-07,280.0,355.0
27123,2006,Ramsey County,5,-14.0,49.0,101.0,212.0,2006-04-08,98.0,2006-10-11,284.0,334.0
27123,2019,Ramsey County,5,-29.0,31.0,93.0,201.0,2019-05-09,129.0,2019-10-12,285.0,273.0
27123,2017,Ramsey County,5,-18.0,365.0,94.0,196.0,2017-05-02,122.0,2017-10-10,283.0,353.0
27123,2007,Ramsey County,5,-21.0,36.0,99.0,188.0,2007-04-16,106.0,2007-09-15,258.0,353.0
27123,2008,Ramsey County,5,-17.0,41.0,94.0,211.0,2008-04-29,120.0,2008-10-21,295.0,343.0
27123,2009,Ramsey County,5,-23.0,16.0,95.0,175.0,2009-04-11,101.0,2009-10-09,282.0,363.0
27123,2010,Ramsey County,5,-18.0,3.0,95.0,145.0,2010-05-09,129.0,2010-10-28,301.0,364.0
27123,2011,Ramsey County,5,-24.0,21.0,101.0,159.0,2011-05-03,123.0,2011-10-21,294.0,364.0
27123,2012,Ramsey County,5,-13.0,20.0,102.0,188.0,2012-04-20,111.0,2012-10-07,281.0,364.0
27123,2013,Ramsey County,5,-18.0,364.0,97.0,238.0,2013-05-23,143.0,2013-10-20,293.0,364.0
27123,2014,Ramsey County,5,-24.0,6.0,91.0,188.0,2014-04-25,115.0,2014-10-09,282.0,364.0
27123,2015,Ramsey County,5,-17.0,13.0,94.0,226.0,2015-04-24,114.0,2015-10-16,289.0,364.0
27123,2016,Ramsey County,5,-20.0,354.0,96.0,204.0,2016-05-15,136.0,2016-10-24,298.0,364.0
27123,2018,Ramsey County,5,-18.0,1.0,100.0,149.0,2018-04-22,112.0,2018-10-11,284.0,272.0
27123,2020,Ramsey County,5,-14.0,45.0,97.0,162.0,2020-05-12,133.0,2020-10-04,278.0,273.0
27123,2022,Ramsey County,5,-20.0,8.0,92.0,134.0,2022-04-28,118.0,,,138.0
27139,2002,Scott County,1,-8.0,2.0,94.0,181.0,2002-05-20,140.0,2002-09-24,267.0,88.0
27139,2021,Scott County,1,-22.0,47.0,97.0,157.0,2021-05-12,132.0,2021-10-22,295.0,91.0
27139,2003,Scott County,1,-19.0,38.0,95.0,236.0,2003-04-17,107.0,2003-09-29,272.0,86.0
