station_uid,obs_year,coldest_day,coldest_dayofyear,hottest_day,hottest_dayofyear,last_freeze_date,last_freeze_dayofyear,first_freeze_date,first_freeze_dayofyear,observations_recorded_april_to_may
10395,2002,-9.0,19.0,95.0,182.0,2002-05-05,125.0,2002-10-05,278.0,89.0
10395,2003,-23.0,38.0,99.0,237.0,2003-04-22,112.0,2003-09-30,273.0,90.0
10395,2004,-24.0,30.0,94.0,160.0,2004-05-15,136.0,2004-10-03,277.0,78.0
10395,2005,-15.0,14.0,93.0,234.0,2005-05-03,123.0,2005-10-07,280.0,91.0
10395,2006,-16.0,49.0,98.0,213.0,2006-04-09,99.0,2006-10-12,285.0,91.0
10395,2007,-20.0,35.0,95.0,208.0,2007-04-15,105.0,2007-09-15,258.0,90.0
10395,2008,-18.0,20.0,91.0,212.0,2008-04-30,121.0,2008-10-21,295.0,91.0
10395,2009,-28.0,16.0,95.0,140.0,2009-04-12,102.0,2009-10-09,282.0,91.0
10395,2010,-22.0,3.0,94.0,145.0,2010-05-10,130.0,2010-10-29,302.0,91.0
10395,2011,-24.0,21.0,101.0,159.0,2011-05-03,123.0,2011-09-15,258.0,90.0
10395,2012,-13.0,20.0,98.0,189.0,2012-04-20,111.0,2012-09-23,267.0,91.0
10395,2013,-18.0,365.0,97.0,135.0,2013-05-12,132.0,2013-10-20,293.0,91.0
10395,2014,-23.0,7.0,89.0,203.0,2014-04-30,120.0,2014-10-05,278.0,89.0
10395,2015,-16.0,54.0,90.0,227.0,2015-05-20,140.0,2015-10-17,290.0,91.0
10395,2016,-27.0,354.0,97.0,205.0,2016-05-15,136.0,2016-10-09,283.0,91.0
10395,2017,-15.0,365.0,97.0,162.0,2017-04-28,118.0,2017-10-10,283.0,91.0
10395,2018,-18.0,6.0,100.0,149.0,2018-04-29,119.0,2018-09-29,272.0,91.0
10395,2019,-30.0,31.0,94.0,201.0,2019-05-03,123.0,2019-10-12,285.0,91.0
10395,2020,-18.0,45.0,94.0,161.0,2020-05-12,133.0,2020-10-03,277.0,69.0
10395,2021,-23.0,38.0,97.0,162.0,2021-05-11,131.0,2021-10-22,295.0,91.0
10395,2022,-22.0,26.0,92.0,133.0,2022-04-28,118.0,,,46.0
10392,2002,-5.0,18.0,95.0,181.0,2002-05-05,125.0,2002-10-07,280.0,91.0
10392,2003,-16.0,38.0,94.0,236.0,2003-04-17,107.0,,,91.0
10392,2004,-11.0,359.0,85.0,263.0,,,2004-10-02,276.0,
10392,2005,-16.0,14.0,92.0,197.0,2005-05-12,132.0,2005-10-07,280.0,87.0
10392,2006,-14.0,49.0,97.0,212.0,2006-04-09,99.0,2006-10-11,284.0,85.0
10392,2007,-19.0,36.0,94.0,207.0,2007-04-15,105.0,2007-09-14,257.0,90.0
10392,2008,-17.0,20.0,90.0,210.0,2008-04-29,120.0,2008-10-21,295.0,90.0
10392,2009,-27.0,16.0,94.0,139.0,2009-04-11,101.0,2009-10-09,282.0,89.0
10392,2010,-19.0,3.0,93.0,144.0,2010-05-10,130.0,,,76.0
10392,2011,,,,,,,,,
10392,2012,,,,,,,,,
10392,2013,,,,,,,,,
10392,2014,,,,,,,,,
10392,2015,,,,,,,,,
10392,2016,,,,,,,,,
10392,2017,,,,,,,,,
10392,2018,,,,,,,,,
10392,2019,,,,,,,,,
10392,2020,,,,,,,,,
10392,2021,-8.0,363.0,96.0,161.0,2021-05-11,131.0,2021-10-22,295.0,46.0
10392,2022,-20.0,26.0,93.0,132.0,2022-04-27,117.0,,,46.0
10398,2002,-3.0,63.0,95.0,182.0,2002-05-13,133.0,2002-10-07,280.0,87.0
10398,2003,-17.0,39.0,95.0,237.0,2003-04-10,100.0,2003-10-02,275.0,91.0
10398,2004,-21.0,35.0,93.0,160.0,2004-04-15,106.0,2004-10-03,277.0,90.0
10398,2005,-13.0,15.0,94.0,199.0,2005-03-29,88.0,2005-10-26,299.0,29.0
10398,2006,-14.0,50.0,97.0,213.0,2006-04-24,114.0,2006-10-11,284.0,89.0
10398,2007,-17.0,39.0,94.0,208.0,2007-03-21,80.0,2007-10-29,302.0,83.0
10398,2008,-18.0,25.0,89.0,212.0,2008-04-30,121.0,2008-10-22,296.0,91.0
10398,2009,-28.0,17.0,95.0,174.0,2009-04-11,101.0,2009-10-10,283.0,91.0
10398,2010,-19.0,4.0,95.0,145.0,2010-04-10,100.0,2010-10-29,302.0,91.0
10398,2011,-24.0,22.0,100.0,159.0,2011-05-04,124.0,2011-10-21,294.0,91.0
10398,2012,-10.0,20.0,99.0,189.0,2012-04-13,104.0,2012-10-07,281.0,91.0
10398,2013,-16.0,365.0,96.0,135.0,2013-05-04,124.0,2013-10-20,293.0,91.0
10398,2014,-24.0,32.0,87.0,237.0,2014-04-19,109.0,2014-10-11,284.0,91.0
10398,2015,-17.0,14.0,92.0,227.0,2015-04-24,114.0,2015-10-17,290.0,89.0
10398,2016,-25.0,354.0,94.0,205.0,2016-05-13,134.0,2016-11-12,317.0,85.0
10398,2017,-13.0,365.0,95.0,162.0,2017-04-12,102.0,2017-10-28,301.0,91.0
10398,2018,-16.0,7.0,97.0,181.0,2018-04-23,113.0,2018-10-12,285.0,90.0
10398,2019,-28.0,32.0,94.0,201.0,2019-04-16,106.0,2019-10-25,298.0,91.0
10398,2020,-14.0,45.0,97.0,161.0,2020-04-17,108.0,2020-10-19,293.0,91.0
10398,2021,-23.0,47.0,100.0,157.0,2021-04-02,92.0,2021-11-02,306.0,90.0
10398,2022,-20.0,26.0,96.0,133.0,2022-04-27,117.0,,,45.0
10393,2002,-8.0,2.0,94.0,181.0,2002-05-20,140.0,2002-09-24,267.0,88.0
10393,2003,-19.0,38.0,95.0,236.0,2003-04-17,107.0,2003-09-29,272.0,86.0
10393,2004,-24.0,30.0,90.0,118.0,2004-05-15,136.0,,,58.0
10393,2005,,,,,,,,,
